# IP Plan Pod Management Subnet
===========================================================================================================
IP      Component           Description                                         Part of default deployment
===========================================================================================================
1       Gateway             VyOS Router                                         Yes
2       Reserved            -                                                   -
3       Reserved            -                                                   -
4       Reserved            -                                                   -
5       vCenter             vCenter Appliance                                   Yes
6       vRLI                vRealize Log Insight Appliance                      Yes
7       GM VIP              NSX-T Global Manager VIP                            No
8       GM1                 NSX-T Global Manager Node 1                         No
9       GM2                 NSX-T Global Manager Node 2                         No
10      GM3                 NSX-T Global Manager Node 3                         No
11      LM VIP              NSX-T Local Manager VIP                             Yes
12      LM1                 NSX-T Local Manager Node 1                          Yes
13      LM2                 NSX-T Local Manager Node 2                          No
14      LM3                 NSX-T Local Manager Node 3                          No
15      CSM                 NSX-T Cloud Service Manager                         No
16      vRNI Platform       vRealize Network Insight Platform Appliance         No
17      vRNI Collector      vRealize Network Insight Collector Node             No
18      Reserved            -                                                   -
19      Reserved            -                                                   -
20      Reserved            -                                                   -
21      Mgmt-1              Nested ESXi Host in Management Cluster              No
22      Mgmt-2              Nested ESXi Host in Management Cluster              No
23      Mgmt-3              Nested ESXi Host in Management Cluster              No
31      ComputeA-1          Nested ESXi Host in ComputeA Cluster                Yes
32      ComputeA-2          Nested ESXi Host in ComputeA Cluster                Yes
33      ComputeA-3          Nested ESXi Host in ComputeA Cluster                Yes
41      ComputeB-1          Nested ESXi Host in ComputeB Cluster                No
42      ComputeB-2          Nested ESXi Host in ComputeB Cluster                No
43      ComputeB-3          Nested ESXi Host in ComputeB Cluster                No
51      Tanzu               Tanzu Supervisor Cluster Control Plane (Mgmt)       No
52      Tanzu               Tanzu Supervisor Cluster Control Plane (Mgmt)       No
53      Tanzu               Tanzu Supervisor Cluster Control Plane (Mgmt)       No
54      Tanzu               Tanzu Supervisor Cluster Control Plane (Mgmt)       No
55      Tanzu               Tanzu Supervisor Cluster Control Plane (Mgmt)       No
56      Tanzu               Tanzu Supervisor Cluster Control Plane (ComputeA)   No
57      Tanzu               Tanzu Supervisor Cluster Control Plane (ComputeA)   No
58      Tanzu               Tanzu Supervisor Cluster Control Plane (ComputeA)   No
59      Tanzu               Tanzu Supervisor Cluster Control Plane (ComputeA)   No
60      Tanzu               Tanzu Supervisor Cluster Control Plane (ComputeA)   No
61      Tanzu               Tanzu Supervisor Cluster Control Plane (ComputeB)   No
62      Tanzu               Tanzu Supervisor Cluster Control Plane (ComputeB)   No
63      Tanzu               Tanzu Supervisor Cluster Control Plane (ComputeB)   No
64      Tanzu               Tanzu Supervisor Cluster Control Plane (ComputeB)   No
65      Tanzu               Tanzu Supervisor Cluster Control Plane (ComputeB)   No
66      Tanzu               Tanzu Supervisor Cluster Control Plane (Edge)       No
67      Tanzu               Tanzu Supervisor Cluster Control Plane (Edge)       No
68      Tanzu               Tanzu Supervisor Cluster Control Plane (Edge)       No
69      Tanzu               Tanzu Supervisor Cluster Control Plane (Edge)       No
70      Tanzu               Tanzu Supervisor Cluster Control Plane (Edge)       No
91      Edge-1              Nested ESXi Host in Edge Cluster                    Yes
92      Edge-2              Nested ESXi Host in Edge Cluster                    Yes
93      Edge-3              Nested ESXi Host in Edge Cluster                    Yes
253     EdgeVM-02           NSX-T Edge Node 2                                   Yes
254     EdgeVM-01           NSX-T Edge Node 1                                   Yes
